Time,alt_msl_ft,ias_kt,vs_fps,pitch_deg,roll_deg,throttle
14.0083,676.6665417,72.64346079,4.217151092,2.229655437,0.7267392045,0.6499464094
14.2167,677.5509937,72.54627297,4.619391837,2.422219593,0.5207095824,0.6499464094
14.4,678.4722637,72.42945699,4.950652544,2.285948075,0.3550285707,0.6499464094
14.6083,679.4928174,72.3026042,4.775837611,1.670602684,0.201804002,0.6499464094
14.8083,680.3809049,72.19565936,4.085958128,1.005159947,0.09681292478,0.6499464094
15.0083,681.1020094,72.1038282,3.138066532,0.4562139534,0.01992147637,0.6499464094
15.2167,681.6290683,72.02121836,2.177113105,0.11497933,-0.04797774353,0.6499464094
15.4,681.9688294,71.94552456,1.394316096,-0.2103744081,-0.1192957238,0.6499464094
15.6083,682.1639901,71.87473282,0.4961506745,-0.6793477915,-0.1852226809,0.6499464094
15.8083,682.1671108,71.82108582,-0.4235615446,-0.9807450231,-0.2009694107,0.6499464094
16.0083,682.0090633,71.7696774,-1.102202924,-1.03978414,-0.2088282178,0.6499464094
16.2083,681.7409805,71.71512443,-1.547466473,-1.138143557,-0.2239061694,0.6499464094
16.4083,681.3863098,71.66525808,-1.992828678,-1.406468281,-0.2307523409,0.6499464094
16.6083,680.9313578,71.62712267,-2.548159442,-1.656265995,-0.2316499553,0.6499464094
16.8,680.398605,71.59520559,-2.978396226,-1.690004342,-0.229720678,0.6499464094
17,679.7735363,71.55930736,-3.248174738,-1.659915383,-0.2292707598,0.6499464094
17.2083,679.079863,71.51800109,-3.39646818,-1.654024146,-0.2344066002,0.6499464094
17.4167,678.3880265,71.47809672,-3.52084623,-1.723183457,-0.2509017918,0.6499464094
17.6,677.7293215,71.44444087,-3.662350495,-1.812991356,-0.2635750231,0.6499464094
17.8083,676.9136541,71.40986945,-3.866978906,-1.907953784,-0.2724178209,0.6499464094
18,676.156853,71.38200541,-4.018550905,-1.914873402,-0.2767813059,0.6499464094
18.2083,675.3090907,71.35126136,-4.110519611,-1.89267752,-0.2823580824,0.6499464094
18.4,674.5167917,71.3213272,-4.153953075,-1.849686244,-0.2899637613,0.6499464094
18.6083,673.6550817,71.28444787,-4.110178287,-1.778121225,-0.3027696536,0.6499464094
18.8,672.8714037,71.24929324,-4.075006731,-1.789054908,-0.3048818947,0.6499464094
19,672.0559548,71.21372173,-4.081206346,-1.768300495,-0.2736282381,0.6499464094
19.2,671.2446211,71.1737821,-4.022810386,-1.625387057,-0.2080400235,0.6499464094
19.4083,670.4267001,71.1208779,-3.822579078,-1.415235292,-0.1391463154,0.6499464094
19.6083,669.689822,71.05866147,-3.549306701,-1.240014885,-0.081026172,0.6499464094
19.8083,669.0088065,70.98849374,-3.275380005,-1.134955079,-0.02971996481,0.6499464094
20.0083,668.3773573,70.91407441,-3.051985613,-1.06426294,0.01780830244,0.6499464094
20.2083,667.7860982,70.83654503,-2.870209485,-0.9975063314,0.06291723527,0.6499464094
20.4,667.2511997,70.75929041,-2.718422151,-0.9290027872,0.104167696,0.6499464094
20.6083,666.701509,70.67170413,-2.564865555,-0.8497203216,0.1471222479,0.6499464094
20.8083,666.2033529,70.58386596,-2.422424306,-0.7712905953,0.186998721,0.6499464094
21.0083,665.7333908,70.49226954,-2.282833635,-0.6925493073,0.2261268529,0.6499464094
21.2083,665.2910689,70.39694579,-2.14600812,-0.6145314732,0.2650080168,0.6499464094
21.4,664.8925589,70.30218784,-2.017903021,-0.5408184971,0.3022701409,0.6499464094
21.6083,664.4868646,70.19552263,-1.882368262,-0.4619729912,0.3427079493,0.6499464094
21.8083,664.1241278,70.08989524,-1.744791184,-0.4092042591,0.3697347402,0.6499464094
22.0083,663.7831723,69.98606042,-1.682283887,-0.4806529453,0.3341082493,0.6499464094
22.2167,663.4270859,69.8859196,-1.749413778,-0.6011965347,0.2785310657,0.6499464094
22.4083,663.0786443,69.8006084,-1.881568433,-0.6410269786,0.2270334715,0.6499464094
22.6083,662.677328,69.70887689,-1.957971771,-0.6034924882,0.1638255172,0.6499464094
22.8083,662.2986124,69.62479286,-1.997852124,-0.6200646343,0.06015025548,0.6499464094
23.0083,661.8923304,69.54045748,-2.069404532,-0.6729974497,-0.06245822888,0.6499464094
23.2083,661.4681354,69.46068927,-2.176627643,-0.7242067493,-0.1844445545,0.6499464094
23.4083,661.0227198,69.38366548,-2.273672962,-0.7254835692,-0.3030185243,0.6499464094
23.6083,660.5618451,69.33635892,-2.332281257,-0.7073657493,-0.4192129268,0.6499464094
23.8083,660.0927398,69.31760807,-2.358070526,-0.6905396673,-0.5268218805,0.6499464094
24.0083,659.6202373,69.29827456,-2.367166652,-0.6803252274,-0.5836640613,0.6499464094
24.2083,659.1465467,69.27857883,-2.368911972,-0.6763392487,-0.606845639,0.6499464094
24.4167,658.6524399,69.25892338,-2.377853904,-0.699181154,-0.6394784984,0.6499464094
24.6083,658.193578,69.24279777,-2.410199118,-0.7187821357,-0.6788500324,0.6499464094
24.8083,657.7085415,69.22718137,-2.439164149,-0.7209762148,-0.7257984069,0.6499464094
25.0083,657.2188319,69.21196321,-2.457569723,-0.7176085442,-0.7784959043,0.6499464094
25.2167,656.7057038,69.19665776,-2.46875347,-0.7144270833,-0.8352957209,0.6499464094
25.4083,656.231921,69.182669,-2.475683157,-0.7132747314,-0.8765316573,0.6499464094
25.6083,655.7362944,69.16851655,-2.47991424,-0.7164396288,-0.9172409921,0.6499464094
25.8083,655.2389883,69.15568512,-2.494813212,-0.7453665635,-0.9552663308,0.6499464094
26.0083,654.7358053,69.14566299,-2.539747904,-0.8067238218,-0.953813527,0.6499464094
26.2083,654.2192386,69.14021035,-2.625081517,-0.8818663529,-0.9083419643,0.6499464094
26.4083,653.682753,69.13950056,-2.73612775,-0.954751716,-0.8508080201,0.6499464094
26.6083,653.1227595,69.14373073,-2.858600768,-1.022279823,-0.7918758125,0.6499464094
26.8083,652.5379149,69.15221501,-2.984498437,-1.085890761,-0.7345710147,0.6499464094
27.0083,651.9277395,69.16437303,-3.108780681,-1.117343728,-0.6906538393,0.6499464094
27.2083,651.2973615,69.17732548,-3.186755262,-1.109606603,-0.6608970475,0.6499464094
27.4083,650.6559021,69.18958342,-3.223012745,-1.096136036,-0.6365486414,0.6499464094
27.6083,650.0097945,69.201319,-3.2357485,-1.088099247,-0.6141587145,0.6499464094
27.8083,649.3622182,69.21252122,-3.238972175,-1.086128825,-0.5916600915,0.6499464094
28.0167,648.6872588,69.22388082,-3.240028068,-1.088014105,-0.5668028498,0.6499464094
28.2167,648.0660633,69.23430412,-3.241420756,-1.091229368,-0.5421218648,0.6499464094
28.4167,647.3904474,69.24550117,-3.24374674,-1.095023865,-0.5092109482,0.6499464094
28.6083,646.7683805,69.25601871,-3.246234518,-1.098329423,-0.462887452,0.6499464094
28.8083,646.1185939,69.26666472,-3.25139525,-1.093996421,-0.4092027181,0.6499464094
29.0083,645.4692986,69.27599833,-3.23628618,-1.046804609,-0.3548281914,0.6499464094
29.2083,644.8279528,69.28145754,-3.17451431,-0.9764211849,-0.3024315774,0.6499464094
29.4083,644.2025834,69.28249027,-3.079616057,-0.9061966888,-0.2528027514,0.6499464094
29.6083,643.5980029,69.27915167,-2.968632784,-0.8420000498,-0.2056711863,0.6499464094
29.8083,642.9925753,69.27171181,-2.845549824,-0.7846543101,-0.1587533045,0.6499464094
30.0083,642.4572562,69.26232453,-2.746838351,-0.7571537852,-0.1104736573,0.6499464094
30.2083,641.9165727,69.25082988,-2.661704272,-0.7160519602,-0.04701080337,0.6499464094
