Time,alt_msl_ft,ias_kt,vs_fps,pitch_deg,roll_deg,throttle
14.2083,486.0193086,80.24779402,-15.37103866,-2.595556346,18.2016223,0.75
14.4,483.4143795,80.08465543,-11.64405376,-0.2497876834,24.18687076,0.75
14.6083,481.3209486,79.80871277,-8.197927975,1.904290944,30.69570941,0.75
14.8083,479.9028649,79.47596062,-5.598779093,3.407286525,37.12336909,0.75
15,478.9532403,79.12190028,-3.842049378,4.19124719,42.96483217,0.75
15.2083,478.2597559,78.71872221,-2.615170781,4.250585095,45.47608741,0.75
15.4,477.9168788,78.28842446,-1.136978513,4.256543629,42.41360666,0.75
15.6083,478.0249814,77.67581488,1.92119319,4.77420528,37.55492459,0.75
15.8,478.8195558,76.94492636,6.074598008,5.51439927,33.48865949,0.75
16.125,480.5090631,76.06497717,10.35001358,5.48395885,30.08538505,0.75
16.2,482.9144855,75.22119061,13.20661843,4.698320341,27.39161409,0.75
16.4,485.7011713,74.4700797,14.23195428,4.03816205,24.71785673,0.75
16.6167,488.7283094,73.73694447,14.57246359,4.641504643,21.63882894,0.75
16.8083,491.7363244,73.02119238,15.3010637,6.213511602,18.3445532,0.75
17.0083,494.9617091,72.26090966,16.74969233,8.065544196,14.63834905,0.75
17.2,498.3516415,71.50870715,18.30602999,9.192711582,10.71459606,0.75
17.4,502.3231796,70.70652319,19.51988211,9.856638613,6.086379988,0.75
17.6083,506.322714,69.95231666,20.26372108,10.31194489,1.38768778,0.75
17.8083,510.4386565,69.20281755,20.76014906,10.7174015,-3.454085163,0.75
18,514.4546139,68.47997722,21.07352126,11.08819577,-8.135266805,0.75
18.2,518.686465,67.71696692,21.22171173,11.4729191,-12.9686155,0.75
18.4,522.9206625,66.94633931,21.14229624,11.87178656,-17.67531197,0.75
18.6083,527.1073621,66.17313491,20.78911048,12.31043725,-22.23987757,0.75
18.8,531.1922882,65.40262718,20.16837231,12.82597049,-26.66250377,0.75
19.0083,535.2848659,64.60644741,19.27369632,13.49218765,-31.17698064,0.75
19.2083,539.0202068,63.84620539,18.28500421,14.25366983,-35.47813504,0.75
19.4083,542.5425573,63.09109867,17.17764676,14.96182505,-39.78936421,0.75
19.6,545.6889481,62.42070072,15.92416984,15.4175895,-43.91955855,0.75
19.8083,548.8031462,61.75332239,14.28157076,15.47408895,-48.28553205,0.75
20.0083,551.4297053,61.19837804,12.21470355,14.5924765,-51.49424358,0.75
20.2083,553.5861362,60.77693427,9.545215937,12.7796235,-53.79503828,0.75
20.4083,555.1410638,60.52316541,6.223803247,10.14208968,-55.63530484,0.75
20.6083,555.9700046,60.44980017,2.202901723,7.244510283,-56.17012263,0.75
20.8083,556.0412279,60.49024459,-1.411658366,5.511276214,-53.97415088,0.75
21.0083,555.5373826,60.51810981,-3.618141182,4.614444082,-50.75027219,0.75
21.2083,554.7344095,60.47769977,-4.489378268,3.661790602,-47.50563695,0.75
21.4083,553.8257772,60.42049103,-4.741631434,2.366569438,-44.23781185,0.75
21.6,552.9300458,60.38616029,-4.791283442,1.315672756,-40.59957401,0.75
21.8083,552.0186362,60.29715477,-4.116875203,1.393321021,-35.31376432,0.75
22.0083,551.3932437,60.04831275,-2.372871058,2.822124902,-29.96208008,0.75
22.2083,551.2171615,59.59957219,0.3990476772,4.936668973,-25.22100933,0.75
22.425,551.6661347,58.97388056,3.689902818,6.949694991,-22.01812737,0.75
